tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
54276,0.152950912714005,0.07539939135313,0.221163332462311,52000,5228,-4671,2768,1.39753007888794
54278,0.160413414239883,0.085825957357884,0.224075093865395,52000,6062,-5172,2803,1.39549601078033
54280,0.157580882310867,0.086118213832378,0.230523109436035,52000,7024,-4191,2879,1.39346504211426
54282,0.156070724129677,0.065287694334984,0.239738181233406,52000,6922,-1662,2990,1.39325630664825
54284,0.16222819685936,0.039289232343435,0.244732573628426,52000,5906,-625,3051,1.39231753349304
54286,0.171323910355568,0.024354740977287,0.243424922227859,52000,7789,-1438,3053,1.39343011379242
54288,0.173870578408241,0.027270598337054,0.246471464633942,52000,8261,-3275,3091,1.39309227466583
54290,0.173696339130402,0.035899005830288,0.252946585416794,52000,8537,-4018,3169,1.39164245128632
54292,0.172164335846901,0.028136160224676,0.257329434156418,52000,8573,-2218,3223,1.39188230037689
54294,0.174532502889633,0.016576658934355,0.256501883268356,52000,8136,-1607,3213,1.39277863502502
54296,0.190384954214096,0.024963039904833,0.253798961639404,52000,8695,-3767,3201,1.39702820777893
54298,0.20710663497448,0.029788471758366,0.255690813064575,52000,8274,-3508,3223,1.39822316169739
54300,0.210345461964607,0.01539240963757,0.263715654611588,52000,9408,-1285,3322,1.39870858192444
54302,0.216388314962387,0.003519957885146,0.268006414175034,52000,9007,-1300,3373,1.39889621734619
54304,0.236359789967537,0.014669495634735,0.263544768095016,52000,7051,-3814,3322,1.39837217330933
54306,0.256498783826828,0.038999252021313,0.263032615184784,52000,9782,-5624,3339,1.39919018745422
54308,0.261140942573547,0.044112078845501,0.272565066814423,52000,11062,-3809,3455,1.3982640504837
54310,0.262867003679276,0.027310816571117,0.28162294626236,52000,11319,-1282,3564,1.39968574047089
54312,0.273984104394913,0.017188299447298,0.284380197525024,52000,9975,-1737,3599,1.40237390995026
54314,0.293608129024506,0.030189421027899,0.284624040126801,52000,8732,-4309,3602,1.40176463127136
54316,0.310908138751984,0.056797292083502,0.282155901193619,52000,8415,-6214,3573,1.40441691875458
54318,0.318078845739365,0.078150734305382,0.276714503765106,52000,10978,-6118,3521,1.40739250183105
54320,0.323212385177612,0.080181069672108,0.278098702430725,52000,10869,-4252,3538,1.41001772880554
54322,0.338515788316727,0.063939236104488,0.285762965679169,52000,9546,-2100,3630,1.41232240200043
54324,0.363081991672516,0.043716374784708,0.295441120862961,52000,7897,-1302,3747,1.41068112850189
54326,0.386508613824844,0.037687361240387,0.303434193134308,52000,7543,-2601,3843,1.40776038169861
54328,0.406067281961441,0.050127990543842,0.305830955505371,52000,7283,-4705,3874,1.40173196792603
54330,0.427520602941513,0.068141222000122,0.30064931511879,52000,6664,-5622,3812,1.3972669839859
54332,0.443435102701187,0.082087464630604,0.293199479579926,52000,6623,-5522,3723,1.39402318000793
54334,0.464031785726547,0.088472135365009,0.292391121387482,52000,5743,-4893,3714,1.39114820957184
54336,0.498999804258347,0.080512218177319,0.293234884738922,52000,3300,-3327,3725,1.39290297031403
54338,0.527288615703583,0.059732340276241,0.293409883975983,52000,3402,-1629,3727,1.39329051971436
54340,0.548641324043274,0.044353045523167,0.294921189546585,52000,3335,-1869,3748,1.39535188674927
54342,0.575294017791748,0.041584063321352,0.293707191944122,52000,2271,-3074,3733,1.3971848487854
54344,0.602360486984253,0.030465554445982,0.289866536855698,52000,1325,-2017,3690,1.39766991138458
54346,0.62560111284256,0.019378360360861,0.286358088254929,52000,1243,-1799,3648,1.3975270986557
54348,0.641135811805725,0.014114564284682,0.287043660879135,52000,1318,-2267,3660,1.39411199092865
54350,0.649362206459045,0.009158073924482,0.28715392947197,52000,1884,-2198,3661,1.3941068649292
