tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
56171,0.165598541498184,-0.074389539659023,0.270541906356812,28030,-1993,-4827,2777,0.990939259529114
56173,0.163668841123581,-0.075814336538315,0.265135407447815,27828,-1256,-3125,2712,0.987090706825256
56175,0.154087871313095,-0.089017987251282,0.259792476892471,27828,-383,-1621,2649,0.977352559566498
56177,0.14358988404274,-0.101743929088116,0.257643908262253,27828,-82,-1414,2624,0.963658630847931
56179,0.128508374094963,-0.087449118494988,0.254831671714783,27828,609,-4343,2591,0.948396265506744
56181,0.103416986763477,-0.087217666208744,0.251938104629517,27828,2112,-2941,2557,0.935946106910706
56183,0.080249212682247,-0.111873246729374,0.25098928809166,27627,2343,113,2546,0.928671479225159
56185,0.083675675094128,-0.124961033463478,0.250993460416794,27627,-384,-782,2546,0.922858119010925
56187,0.092144593596459,-0.130006477236748,0.25062283873558,27627,-1104,-1403,2543,0.911238193511963
56189,0.080881617963314,-0.124041885137558,0.249376192688942,27627,1094,-2623,2528,0.918265461921692
56191,0.06619706004858,-0.12599016726017,0.24671858549118,27627,1697,-1712,2497,0.92792135477066
56193,0.069956421852112,-0.110445082187653,0.245792806148529,27427,-221,-3772,2486,0.926120638847351
56195,0.071336954832077,-0.089343555271626,0.244986519217491,27427,-47,-4687,2477,0.92395031452179
56197,0.049579538404942,-0.084597557783127,0.246412590146065,27427,2701,-3146,2494,0.913337051868439
56199,0.03104623965919,-0.083809800446034,0.249317243695259,27427,2735,-2708,2529,0.907297372817993
56201,0.031155083328486,-0.097731769084931,0.247182637453079,27427,869,-958,2503,0.89481246471405
56203,0.028925713151693,-0.094754040241242,0.239727973937988,27226,1132,-2646,2414,0.890907287597656
56205,0.016248745843768,-0.083123825490475,0.232496023178101,27226,2430,-3744,2328,0.897883355617523
56207,0.00378176313825,-0.053943932056427,0.230522111058235,27226,2656,-6045,2304,0.892280519008637
56209,-0.01063824351877,-0.042179964482784,0.233369320631027,27226,3139,-4539,2338,0.887134373188019
56211,-0.017975434660912,-0.065957389771938,0.239768818020821,27226,2588,-465,2415,0.874917805194855
56213,-0.012993067502976,-0.08176825940609,0.240776687860489,27226,1257,-946,2427,0.862746298313141
56215,-0.013232317753136,-0.089429438114166,0.23964250087738,27226,1793,-1551,2414,0.850095510482788
56217,-0.023494249209762,-0.086266271770001,0.242801338434219,27226,3000,-2697,2452,0.847219049930573
56219,-0.027959195896983,-0.093109525740147,0.246699199080467,27025,2529,-1500,2499,0.842505097389221
56221,-0.028273114934564,-0.085065938532353,0.242430567741394,27025,2121,-3149,2447,0.829864203929901
56223,-0.022926680743694,-0.065472431480885,0.232994437217712,27025,1464,-4652,2334,0.829323887825012
56225,-0.017066115513444,-0.05318895727396,0.231087863445282,26822,1296,-4167,2311,0.829815089702606
