Timestamp,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
267962,0.054052092134953,-0.04483487084508,0.010873910970986,54604.59765625,1238,1625,3208,0.998082041740418
267982,0.050084672868252,-0.089266262948513,0.011718439869583,54638.5625,372,3777,3208,0.999769389629364
268002,0.032304104417563,-0.074062839150429,0.033262632787228,54583.41015625,-1002,356,3443,1.0041424036026
268022,0.036909393966198,-0.074311554431915,0.022402690723538,54514.53125,2344,1331,3402,1.00568675994873
268042,-0.00790255703032,-0.15751713514328,0.017721448093653,54449.40625,2920,2332,3392,0.994987905025482
268062,0.031007984653115,-0.126388445496559,0.026197705417872,54431.26953125,-440,1327,3421,0.992785930633545
268082,0.058809261769056,-0.130003452301025,0.018606465309858,54404.34375,-264,1205,3471,1.01368737220764
268102,0.006935201585293,-0.061273105442524,0.000172334024683,54356.109375,3103,2286,3305,0.98421174287796
268122,0.004802816081792,-0.046248830854893,-0.017771074548364,54541.61328125,2213,1237,3199,0.988760948181152
268142,-0.014732386916876,-0.084541656076908,-0.003964146599174,54539.1875,4599,2720,3343,1.00513780117035
268162,-0.018807420507073,-0.023459726944566,-0.004331784788519,54548.04296875,4134,2492,3377,0.996015429496765
268182,-0.023502502590418,-0.02011944167316,-0.033857442438603,54540.203125,529,1388,3090,1.01321232318878
268202,0.002969590947032,0.04245251044631,-0.010724286548793,54484.21875,-1337,2467,3235,0.994535267353058
268222,-0.015973195433617,0.015269998461008,-0.023469742387533,54798.66015625,3947,2028,3231,1.00992476940155
268242,-0.06832430511713,0.004898699466139,-0.004005121998489,54761.42578125,2728,1163,3269,0.98374217748642
268262,-0.067947752773762,-0.005814041942358,-0.044512435793877,54781.80859375,4135,2245,3076,1.00737392902374
268282,-0.010298061184585,0.003415949409828,-0.036120939999819,54734.92578125,4478,1699,3151,1.00413501262665
268302,-0.055085834115744,0.006714440416545,-0.03315806761384,54747.02734375,860,2930,3014,0.99470329284668
